substance_a_id,substance_b_id,pair_key,origin,interaction_code,interaction_label,risk_scale,summary,confidence,mechanism,mechanism_category,timing,evidence_gaps,evidence_tier,field_notes,sources,source_refs,source_fingerprint
ayahuasca,kambo,ayahuasca|kambo,explicit,CAU,Caution / Moderate Risk,3,"Multi-medicine retreat sequencing is common, but same-day kambo plus ayahuasca can push dehydration, electrolyte disturbance, and hemodynamic instability into unsafe territory.",medium,"Kambo produces short, intense autonomic stress with vomiting, hypotension, tachycardia, and fluid/electrolyte loss. Ayahuasca adds further blood-pressure shifts, purging, and cardiovascular activation, so the main risk is somatic rather than serotonergic.",cardiovascular_load,Overnight spacing with recovery is a minimum field standard. Same-day stacking should be treated as materially riskier.,There are no formal kambo plus ayahuasca interaction studies; a retreat safety registry would be more realistic than a trial.,case reports + ethnographic / retreat sequencing practice,,entheogen-interactions-research-update; ayahuasca-interactions.pdf (p1 text),alma_ayahuasca_medication_interactions_2025|entheogen_interactions_research_update,3825b5aace9f730eea9dd512b78d153b20bf45775ba43f8e63b8fe1ed1300109
ayahuasca,tobacco_rape,ayahuasca|tobacco_rape,explicit,LOW_MOD,"Low Risk, Effect Modulation",2,"Traditional low-frequency use appears broadly compatible in healthy people, but repeated or heavy tobacco/rapé use can add meaningful blood-pressure and anxiety load.",medium,"Nicotine raises heart rate and blood pressure through catecholamine release. Ayahuasca can do the same, so the combination is usually tolerated in healthy participants but can become a problem with cardiovascular disease, naïve users, or repeated strong applications.",cardiovascular_load,,Almost no formal hemodynamic monitoring exists for ayahuasca plus ritual tobacco patterns.,traditional-use precedent + mechanistic inference + limited hemodynamic data,"Traditional Amazonian practice is one reason this pair should not be overclassified, but facilitator experience still supports caution around repeated dosing and admixtures.",entheogen-interactions-research-update; Ayahuasca and Drug Interaction.pdf (The Good slide),entheogen_interactions_research_update|malcolm_ayahuasca_drug_interaction_2022,d30fd2f7cad9a4c835af7fbc23d4f755108340eb81ecb22c09f9d6b77ee3aa1c
ayahuasca,cannabis,ayahuasca|cannabis,explicit,CAU,Caution / Moderate Risk,3,"Main concern is psychiatric and cardiovascular destabilization rather than classic MAOI toxicity; cannabis often makes ayahuasca less predictable, not safer.",medium,"THC can raise heart rate, intensify anxiety, and lower the threshold for derealization or psychotic-like reactions. Ayahuasca already increases autonomic load and psychological lability, so the combination can become panic-prone even when neither agent is medically toxic on its own.",unknown,,"Prospective data on cannabis preloading, concentrates, and redosing during ceremony are still missing.",ethnopharmacology review + pilot endocannabinoid work + facilitator consensus,"Many facilitators report cannabis as a more common destabilizer than tobacco on ceremony days, especially with concentrates or strong edibles.",entheogen-interactions-research-update; Ayahuasca and Drug Interaction.pdf (The Good slide),entheogen_interactions_research_update|malcolm_ayahuasca_drug_interaction_2022,d30fd2f7cad9a4c835af7fbc23d4f755108340eb81ecb22c09f9d6b77ee3aa1c
ayahuasca,alcohol,alcohol|ayahuasca,explicit,DAN,Dangerous / Contraindicated,5,Advised against; MAOI context and stated potential for dangerous outcomes.,high,,unknown,,,,,ayahuasca-interactions.pdf (p1 text),alma_ayahuasca_medication_interactions_2025,e18440de9b2deb25137756c7eb30155b8e523ca93e3cf98c8bf023b683c801f7
ayahuasca,ssri,ayahuasca|ssri,explicit,DAN,Dangerous / Contraindicated,5,Serotonin syndrome risk explicitly discussed in MAOI context.,high,,unknown,,,,,ayahuasca-interactions.pdf + Ayahuasca and Drug Interaction.pdf,alma_ayahuasca_medication_interactions_2025|malcolm_ayahuasca_drug_interaction_2022,116ce9224d110f3fa98dacb1de5d90eeb1b2e09d39dc69597b4679aa693daaf0
ayahuasca,snri,ayahuasca|snri,explicit,DAN,Dangerous / Contraindicated,5,SNRIs included in contraindicated antidepressant list.,high,,unknown,,,,,Ayahuasca and Drug Interaction.pdf (Drug Contraindications slide),malcolm_ayahuasca_drug_interaction_2022,85c41eaaf8958355ddff5018d2c07eadad0264d22cd983c42b51eae329ee4e66
ayahuasca,tricyclic_ad,ayahuasca|tricyclic_ad,explicit,DAN,Dangerous / Contraindicated,5,Specific tricyclics listed as contraindicated with MAOI context.,high,,unknown,,,,,Ayahuasca and Drug Interaction.pdf (Drug Contraindications slide),malcolm_ayahuasca_drug_interaction_2022,85c41eaaf8958355ddff5018d2c07eadad0264d22cd983c42b51eae329ee4e66
ayahuasca,maoi_pharma,ayahuasca|maoi_pharma,explicit,DAN,Dangerous / Contraindicated,5,Other MAOIs explicitly called out as interaction risks.,high,,unknown,,,,,ayahuasca-interactions.pdf (p1 text),alma_ayahuasca_medication_interactions_2025,e18440de9b2deb25137756c7eb30155b8e523ca93e3cf98c8bf023b683c801f7
ayahuasca,atypical_ad,atypical_ad|ayahuasca,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
ayahuasca,ndri_bupropion,ayahuasca|ndri_bupropion,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
ayahuasca,amphetamine_stims,amphetamine_stims|ayahuasca,explicit,DAN,Dangerous / Contraindicated,5,Explicitly contraindicated; risk includes hypertensive crisis/serotonin toxicity.,high,,unknown,,,,,Ayahuasca and Drug Interaction.pdf (Drug Contraindications slide),malcolm_ayahuasca_drug_interaction_2022,85c41eaaf8958355ddff5018d2c07eadad0264d22cd983c42b51eae329ee4e66
ayahuasca,methylphenidate,ayahuasca|methylphenidate,explicit,DAN,Dangerous / Contraindicated,5,Listed in contraindicated stimulant class with ayahuasca.,high,,unknown,,,,,Ayahuasca and Drug Interaction.pdf (Drug Contraindications slide),malcolm_ayahuasca_drug_interaction_2022,85c41eaaf8958355ddff5018d2c07eadad0264d22cd983c42b51eae329ee4e66
ayahuasca,cocaine,ayahuasca|cocaine,explicit,DAN,Dangerous / Contraindicated,5,Listed as contraindicated with ayahuasca.,high,,unknown,,,,,Ayahuasca and Drug Interaction.pdf (Drug Contraindications slide),malcolm_ayahuasca_drug_interaction_2022,85c41eaaf8958355ddff5018d2c07eadad0264d22cd983c42b51eae329ee4e66
ayahuasca,mdma_2cx_dox_nbome,ayahuasca|mdma_2cx_dox_nbome,explicit,DAN,Dangerous / Contraindicated,5,Ceremonial/recreational serotonergic phenethylamines listed as contraindicated.,high,,unknown,,,,,Ayahuasca and Drug Interaction.pdf (Drug Contraindications slide),malcolm_ayahuasca_drug_interaction_2022,85c41eaaf8958355ddff5018d2c07eadad0264d22cd983c42b51eae329ee4e66
ayahuasca,serotonergic_opioids,ayahuasca|serotonergic_opioids,explicit,DAN,Dangerous / Contraindicated,5,Methadone/tramadol/meperidine/tapentadol listed as contraindicated.,high,,unknown,,,,,Ayahuasca and Drug Interaction.pdf (Drug Contraindications slide),malcolm_ayahuasca_drug_interaction_2022,85c41eaaf8958355ddff5018d2c07eadad0264d22cd983c42b51eae329ee4e66
ayahuasca,antipsychotics,antipsychotics|ayahuasca,explicit,UNS,Unsafe / High Risk,4,Usually a psychiatric contraindication rather than a classic serotonergic-toxicity problem; many antipsychotics will also strongly suppress DMT effects.,low,"Many antipsychotics are potent 5-HT2A antagonists, so they can flatten DMT effects while adding their own burdens such as orthostasis, QT issues, sedation, or metabolic strain. The larger concern is that the person is often being treated for psychosis-spectrum illness, bipolar instability, or severe agitation.",qt_prolongation,,Direct ayahuasca-in-antipsychotic-maintained cohorts are missing; most evidence is extrapolated from classic psychedelic receptor-blockade studies.,mechanistic inference + clinical exclusion practice + retreat guidance,,entheogen-interactions-research-update; Ayahuasca and Drug Interaction.pdf (The Good + Contraindications slides),entheogen_interactions_research_update|malcolm_ayahuasca_drug_interaction_2022,d30fd2f7cad9a4c835af7fbc23d4f755108340eb81ecb22c09f9d6b77ee3aa1c
ayahuasca,antihypertensives,antihypertensives|ayahuasca,explicit,CAU,Caution / Moderate Risk,3,"Class-dependent cardiovascular caution; stable ACEi/ARB therapy is often less concerning than beta-blockers, clonidine, or rate-controlling calcium-channel blockers.",low,"Ayahuasca commonly raises heart rate and blood pressure while also causing vomiting, diarrhea, and fluid shifts. Background antihypertensive therapy can make those hemodynamic swings less predictable, especially if compensatory tachycardia is blunted or the participant becomes volume depleted.",unknown,"If recent vomiting, diarrhea, fasting, heat exposure, or repeated cups are involved, the interaction risk rises because volume depletion makes antihypertensives harder to titrate safely.",There are still no direct trials of standardized ayahuasca in participants maintained on specific antihypertensive classes.,mechanistic inference + retreat guidance + limited human ayahuasca hemodynamic data,,entheogen-interactions-research-update; ayahuasca-interactions.pdf; Ayahuasca and Drug Interaction.pdf,alma_ayahuasca_medication_interactions_2025|entheogen_interactions_research_update|malcolm_ayahuasca_drug_interaction_2022,aac0221187f921d65dca57107e7fb81b546d7290614e824b205aac14f61fb8b4
ayahuasca,benzodiazepines,ayahuasca|benzodiazepines,explicit,LOW_MOD,"Low Risk, Effect Modulation",2,Emergency benzodiazepine use is generally low-risk and clinically preferred for severe agitation; planned co-use more often blunts effects and complicates screening than it causes direct toxicity.,medium,"Benzodiazepines are GABAergic rather than serotonergic, which is why toxicology guidance favors them for agitation, muscle rigidity, and serotonin-toxicity management. The main tradeoffs are sedation, falls, aspiration during heavy purge, and a flatter psychedelic process.",serotonergic,"Stable low-dose maintenance mainly predicts effect blunting. Escalating doses, erratic use, or recent withdrawal raise the risk profile much more than the pharmacology of the pair itself.",Ayahuasca-specific observational data on maintained benzodiazepine users remain sparse.,toxicology guidelines + retreat protocols + field consensus,Field consensus is often stricter than toxicology literature: many retreats discourage baseline benzo use but still keep benzodiazepines available as emergency rescue medication.,entheogen-interactions-research-update; Ayahuasca and Drug Interaction.pdf (The Good slide),entheogen_interactions_research_update|malcolm_ayahuasca_drug_interaction_2022,d30fd2f7cad9a4c835af7fbc23d4f755108340eb81ecb22c09f9d6b77ee3aa1c
ayahuasca,lithium,ayahuasca|lithium,fallback,DAN,Dangerous / Contraindicated,5,Lithium should be treated as contraindicated with classic psychedelics because published observational data show a disproportionate seizure signal.,medium,"The exact mechanism is unresolved, but lithium appears to interact with classic psychedelic states in a way that meaningfully raises seizure and severe adverse-reaction concern.",unknown,,"The evidence base is observational rather than controlled, but the signal is strong enough to warrant a contraindication.",observational report analysis + harm-reduction consensus,,entheogen-interactions-research-update,entheogen_interactions_research_update,8da8c85ff41da84cd1e40db9387a2d8021787792624a78383595bcd7bd0ea642
ayahuasca,lamotrigine,ayahuasca|lamotrigine,fallback,LOW_MOD,"Low Risk, Effect Modulation",2,"Lamotrigine currently looks substantially lower-risk than lithium with classic psychedelics, with mostly observational evidence of minimal effect modulation.",low,"Lamotrigine is anticonvulsant and not strongly serotonergic, so expectations center on mild effect modulation rather than toxic synergy.",unknown,,,observational report analysis,,entheogen-interactions-research-update,entheogen_interactions_research_update,8da8c85ff41da84cd1e40db9387a2d8021787792624a78383595bcd7bd0ea642
ayahuasca,ketamine,ayahuasca|ketamine,explicit,UNS,Unsafe / High Risk,4,"Same-session ayahuasca plus ketamine is a poor fit: dissociation, sedation, impaired mobility, and purge-related aspiration/fall risk outweigh any novelty value.",low,"Ketamine adds dissociation and motor impairment rather than a clean serotonergic synergy. Ayahuasca adds vomiting, autonomic swings, and intense perceptual disruption, so the combination is operationally unsafe even without a known receptor-level crisis mechanism.",unknown,,No formal ketamine-ayahuasca interaction studies were identified; current guidance is mostly based on operational risk and scattered reports.,mechanistic inference + scattered field reports,,entheogen-interactions-research-update,entheogen_interactions_research_update,8da8c85ff41da84cd1e40db9387a2d8021787792624a78383595bcd7bd0ea642
ayahuasca,clonidine_guanfacine,ayahuasca|clonidine_guanfacine,explicit,CAU,Caution / Moderate Risk,3,"Alpha-2 agonists may be potentiated around harmala use and can tilt an ayahuasca session toward hypotension, bradycardia, or over-sedation.",low,"Clonidine and guanfacine reduce sympathetic outflow. The research update notes field concern that harmala-related CYP inhibition may raise exposure for some related agents, making blood-pressure drops and sedation harder to predict.",unknown,Prefer taking alpha-2 agonists well outside the strongest harmala window; the research update used a rough 10-hour separation rule as a practical field heuristic.,Evidence is mostly mechanistic plus field experience; formal aya-specific PK work is missing.,field guidance + mechanistic inference,,entheogen-interactions-research-update,entheogen_interactions_research_update,8da8c85ff41da84cd1e40db9387a2d8021787792624a78383595bcd7bd0ea642
ayahuasca,beta_blockers_ccb,ayahuasca|beta_blockers_ccb,explicit,UNS,Unsafe / High Risk,4,Rate-controlling beta-blockers and certain calcium-channel blockers are higher-concern than generic blood-pressure medication because ayahuasca can create pressure swings while these drugs limit compensatory responses.,low,"Beta-blockers and rate-controlling calcium-channel blockers can worsen bradycardia or hypotension during stress states. Ayahuasca adds variable sympathetic activation, vasodilation, vomiting, and dehydration, so the combined hemodynamic picture can become unstable.",unknown,,The concern is strong mechanistically but still lacks ayahuasca-specific prospective studies.,cardiovascular pharmacology + retreat guidance + mechanistic inference,,entheogen-interactions-research-update,entheogen_interactions_research_update,8da8c85ff41da84cd1e40db9387a2d8021787792624a78383595bcd7bd0ea642
psilocybin,psilocybin,psilocybin|psilocybin,self,SELF,Same Entity / N-A,-1,Same entity selected; this is not an interaction pair.,n/a,,unknown,,,,,n/a,not_available,b5b0768226f40e6af798930d183da3215b33a06828f62399ea2303cb27fee6c5
psilocybin,nn_dmt,nn_dmt|psilocybin,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
psilocybin,five_meo_dmt,five_meo_dmt|psilocybin,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
psilocybin,mescaline_peyote,mescaline_peyote|psilocybin,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
psilocybin,yopo,psilocybin|yopo,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
psilocybin,lsd,lsd|psilocybin,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
psilocybin,salvia,psilocybin|salvia,fallback,CAU,Caution / Moderate Risk,3,"Salvia is non-serotonergic, but same-session use with classic psychedelics can become unsafe because disorientation, dysphoria, and accident risk stack badly.",low,"Salvinorin A is a kappa-opioid agonist rather than a classic serotonergic psychedelic. The overlap is at autonomic activation and severe state disruption, not receptor-level serotonin toxicity.",serotonergic,,"Formal combination studies are absent, so this remains a precautionary field rule.",mechanistic inference + salvia risk literature,,entheogen-interactions-research-update,entheogen_interactions_research_update,8da8c85ff41da84cd1e40db9387a2d8021787792624a78383595bcd7bd0ea642
psilocybin,belladonna,belladonna|psilocybin,fallback,DAN,Dangerous / Contraindicated,5,Tropane-rich deliriants such as belladonna and Brugmansia should be treated as contraindicated with psychedelics because anticholinergic toxidrome and psychedelic disorganization are a dangerous mix.,medium,"Belladonna and Brugmansia contain atropine-, scopolamine-, and hyoscyamine-like alkaloids that can produce tachycardia, hyperthermia, delirium, urinary retention, arrhythmia, and profound confusion. Combining that with serotonergic psychedelic effects is a worst-case operational scenario.",unknown,,"Controlled co-use studies are effectively impossible, so toxicology cases and ethnographic caution will remain the evidence base.",toxicology case literature + ethnographic caution,,entheogen-interactions-research-update,entheogen_interactions_research_update,8da8c85ff41da84cd1e40db9387a2d8021787792624a78383595bcd7bd0ea642
psilocybin,brugmansia,brugmansia|psilocybin,fallback,DAN,Dangerous / Contraindicated,5,Tropane-rich deliriants such as belladonna and Brugmansia should be treated as contraindicated with psychedelics because anticholinergic toxidrome and psychedelic disorganization are a dangerous mix.,medium,"Belladonna and Brugmansia contain atropine-, scopolamine-, and hyoscyamine-like alkaloids that can produce tachycardia, hyperthermia, delirium, urinary retention, arrhythmia, and profound confusion. Combining that with serotonergic psychedelic effects is a worst-case operational scenario.",unknown,,"Controlled co-use studies are effectively impossible, so toxicology cases and ethnographic caution will remain the evidence base.",toxicology case literature + ethnographic caution,,entheogen-interactions-research-update,entheogen_interactions_research_update,8da8c85ff41da84cd1e40db9387a2d8021787792624a78383595bcd7bd0ea642
psilocybin,kambo,kambo|psilocybin,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
psilocybin,tobacco_rape,psilocybin|tobacco_rape,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
psilocybin,cannabis,cannabis|psilocybin,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
psilocybin,alcohol,alcohol|psilocybin,unknown,UNK,Unknown/Insufficient Data,0,No explicit interaction classification is loaded for this pair in the current curated dataset.,low,,unknown,,,,,source-gap,source_gap,e4fd07eea0d0220c7a90d6b6991b1a4eec24a8003b5d526b5e4f0d2b9ecbba26
psilocybin,ssri,psilocybin|ssri,explicit,LOW_MOD,"Low Risk, Effect Modulation",2,Blunted effects; washout mostly 2 weeks (fluoxetine 6 weeks).,high,,unknown,,,,,Psilocybin-Mushrooms-SSRIs-Antidepressant-Interaction-Chart.pdf,psilocybin_ssri_interaction_chart,70f96ba113b16c893a84964b5549eb70141b503ad78dfad159dc8a19cafba68f
psilocybin,snri,psilocybin|snri,explicit,LOW_MOD,"Low Risk, Effect Modulation",2,Blunted effects with typical 2-week washout guidance.,high,,unknown,,,,,Psilocybin-Mushrooms-SSRIs-Antidepressant-Interaction-Chart.pdf,psilocybin_ssri_interaction_chart,70f96ba113b16c893a84964b5549eb70141b503ad78dfad159dc8a19cafba68f
psilocybin,tricyclic_ad,psilocybin|tricyclic_ad,explicit,CAU,Caution / Moderate Risk,3,Intensified effects; chart indicates caution with 2-week washout guidance.,high,,unknown,,,,,Psilocybin-Mushrooms-SSRIs-Antidepressant-Interaction-Chart.pdf,psilocybin_ssri_interaction_chart,70f96ba113b16c893a84964b5549eb70141b503ad78dfad159dc8a19cafba68f
psilocybin,maoi_pharma,maoi_pharma|psilocybin,explicit,DAN,Dangerous / Contraindicated,5,Serotonin syndrome or hypertension category in source chart.,high,,unknown,,,,,Psilocybin-Mushrooms-SSRIs-Antidepressant-Interaction-Chart.pdf,psilocybin_ssri_interaction_chart,70f96ba113b16c893a84964b5549eb70141b503ad78dfad159dc8a19cafba68f
psilocybin,atypical_ad,atypical_ad|psilocybin,explicit,LOW_MOD,"Low Risk, Effect Modulation",2,"Usually lower acute toxicity than MAOI or SNRI combinations, but trazodone, mirtazapine, and buspirone commonly blunt or reshape psilocybin effects.",high,"Trazodone and mirtazapine antagonize 5-HT2A signaling, while buspirone changes serotonergic tone through 5-HT1A partial agonism. That generally lowers subjective intensity more than it raises toxicity.",unknown,"Where fuller psychedelic intensity is the goal, clinics often use a rough 1-2 week taper/hold heuristic for trazodone or mirtazapine. That timing is pragmatic rather than strongly evidenced.","Controlled data are emerging for trazodone plus psilocybin, but comparable formal work for mirtazapine and buspirone is still thin.",systematic interaction review + trial rationale + case report + clinical heuristics,,entheogen-interactions-research-update; Psilocybin-Mushrooms-SSRIs-Antidepressant-Interaction-Chart.pdf,entheogen_interactions_research_update|psilocybin_ssri_interaction_chart,67ad8acb3ae9f773b24541fc1f054340515ca5b64d1fcefc6b0c28327ca0080f
psilocybin,ndri_bupropion,ndri_bupropion|psilocybin,explicit,CAU,Caution / Moderate Risk,3,Reduced seizure-threshold caution; individualized risk assessment advised.,high,,unknown,,,,,Psilocybin-Mushrooms-SSRIs-Antidepressant-Interaction-Chart.pdf,psilocybin_ssri_interaction_chart,70f96ba113b16c893a84964b5549eb70141b503ad78dfad159dc8a19cafba68f
